Artist,BirthYear,DeathYear,KeyArtist
24Kgoldn,,,1
5 Seconds Of Summer,,,2
6Lack,,,3
A$Ap Rocky,1988.0,,4
Abba,,,5
Adele,1988.0,,6
Akcent,,,7
Akon,1973.0,,8
Alan Jackson,1958.0,,9
Alec Benjamin,1994.0,,10
Alessia Cara,1996.0,,11
Ali Gatie,,,12
Alicia Keys,1981.0,,13
Anne-Marie,1991.0,,14
Anson Seabra,,,15
Aqua,,,16
Arash,,,17
Arc North,,,18
Arctic Monkeys,,,19
Ariana Grande,1993.0,,20
Armin Van Buuren,1976.0,,21
Aurora,1996.0,,22
Ava Max,1994.0,,23
Avicii,1989.0,2018.0,24
Avril Lavigne,1984.0,,25
Ayo & Teo,,,26
Baby Tate,1996.0,,27
Backstreet Boys,,,28
Bad Meets Evil,,,29
Bebe Rexha,1989.0,,30
Becky G,1997.0,,31
Benny Blanco,1988.0,,32
Benson Boone,2002.0,,33
Beyoncé,1981.0,,34
Billie Eilish,2001.0,,35
Blackbear,,,36
Blackjack,,,37
Blue,,,38
Boywithuke,,,39
Britney Spears,1981.0,,40
Bruno Mars,1985.0,,41
Bryson Tiller,1993.0,,42
Calvin Harris,1984.0,,43
Camila Cabello,1997.0,,44
Cardi B,1992.0,,45
Carly Rae Jepsen,1985.0,,46
Cascada,,,47
Celina Sharma,,,48
Cesqeaux,,,49
Charlie Puth,1991.0,,50
Cher Lloyd,1993.0,,51
Chord Overstreet,1989.0,,52
Christina Aguilera,1980.0,,53
Christina Perri,1986.0,,54
Cigarettes After Sex,,,55
Ckay,,,56
Clean Bandit,,,57
Coldplay,,,58
Conan Gray,,,59
Corona,,,60
Céline Dion,1968.0,,61
Daddy Yankee,1976.0,,62
Dan + Shay,,,63
David Guetta,1967.0,,64
Daya,1998.0,,65
Dean Lewis,,,66
Demi Lovato,1992.0,,67
Depeche Mode,,,68
Dj Snake,,,69
Doja Cat,1995.0,,70
Don Omar,1978.0,,71
Don Toliver,,,72
Drake,1986.0,,73
Dua Lipa,1995.0,,74
Duncan Laurence,1994.0,,75
Ed Sheeran,1991.0,,76
Elley Duhé,1992.0,,77
Ellie Goulding,1986.0,,78
Emeline,,,79
Eminem,1972.0,,80
Empire Of The Sun,,,81
Enrique Iglesias,1975.0,,82
Evanescence,,,83
Fifth Harmony,,,84
Flo Rida,1979.0,,85
Foster The People,,,86
Frank Ocean,1987.0,,87
Future,1983.0,,88
G-Eazy,1989.0,,89
Gabry Ponte,,,90
Gang Of Youths,,,91
Glass Animals,,,92
Gnash,,,93
Gorillaz,,,94
Green Day,,,95
Gym Class Heroes,,,96
Haddaway,1965.0,,97
Halsey,1994.0,,98
Harry Styles,1994.0,,99
Ider,,,100
Idina Menzel,1971.0,,101
Imagine Dragons,,,102
J Balvin,1985.0,,103
Jai Waetford,,,104
Jax,,,105
Jaymes Young,1991.0,,106
Jennifer Lopez,1983.0,,107
Jessica Mauboy,1989.0,,108
Jessie J,1988.0,,109
Jonas Brothers,,,110
Jordan Clarke,,,111
Juice Wrld,1998.0,2019.0,112
Justin Bieber,1994.0,,113
Justin Timberlake,1981.0,,114
Jvke,2001.0,,115
K'Naan,1978.0,,116
Kacey Musgraves,1988.0,,117
Kali Uchis,1994.0,,118
Karol G,1991.0,,119
Kate Bush,1958.0,,120
Katy Perry,1984.0,,121
Kelly Clarkson,1982.0,,122
Kendrick Lamar,1987.0,,123
Kesha,1987.0,,124
Kid Cudi,1984.0,,125
Kina,,,126
Kurt Hugo Schneider,,,127
Lady Gaga,1986.0,,128
Lana Del Rey,1985.0,,129
Lauv,1994.0,,130
Leona Lewis,1985.0,,131
Lewis Capaldi,1996.0,,132
Lil Nas X,1999.0,,133
Lil Peep,1996.0,2017.0,134
Lil Skies,1998.0,,135
Lil Tecca,,,136
Lindsey Stirling,1986.0,,137
Little Mix,,,138
Lorde,1996.0,,139
Louis Theroux,1970.0,,140
Luis Fonsi,1978.0,,141
Lukas Graham,,,142
Luke Christopher,,,143
Mac Miller,1992.0,2018.0,144
Madonna,1958.0,,145
Magic!,,,146
Mahalia,,,147
Majid Jordan,,,148
Mario,1986.0,,149
Mark Ambor,,,150
Mark Ronson,1975.0,,151
Maroon 5,,,152
Marshmello,,,153
Martin Garrix,1996.0,,154
Medusa,,,155
Meghan Trainor,1993.0,,156
Melanie Martinez,1995.0,,157
Miguel,,,158
Miley Cyrus,1992.0,,159
Milky Chance,,,160
Modern Talking,,,161
Muse,,,162
Ne-Yo,1982.0,,163
Neoni,,,164
Nessa Barrett,2002.0,,165
Noah Cyrus,2000.0,,166
Nxworries,,,167
Olivia Rodrigo,2003.0,,168
One Direction,,,169
Onerepublic,,,170
P!Nk,1979.0,,171
Partynextdoor,,,172
Passenger,,,173
Phantogram,,,174
Pink Sweat$,,,175
Post Malone,1995.0,,176
Princess Nokia,1992.0,,177
Rachel Platten,1981.0,,178
Ricky Montgomery,,,179
Rihanna,1988.0,,180
Rixton,,,181
Ruth B.,,,182
Sam Smith,1992.0,,183
Sam Tinnesz,,,184
Santana,,,185
Sarah Jeffery,,,186
Saweetie,1994.0,,187
Sean Kingston,1990.0,,188
Sean Paul,1973.0,,189
Selena Gomez,1992.0,,190
Selena Gomez & The Scene,,,191
Shakira,1977.0,,192
Shawn Mendes,1998.0,,193
Shontelle,1985.0,,194
Sia,1975.0,,195
Sidewalks And Skeletons,1991.0,,196
Snakehips,,,197
Snoh Aalegra,,,198
Spice Girls,1994.0,,199
Stephen Sanchez,,,200
Swedish House Mafia,,,201
Sza,1989.0,,202
T.A.T.U.,,,203
Tate Mcrae,2003.0,,204
Taylor Swift,1989.0,,205
Tech N9Ne,1971.0,,206
Tesher,,,207
The Chainsmokers,,,208
The Chemical Brothers,,,209
The Cramps,,,210
The Kid Laroi,2003.0,,211
The Neighbourhood,,,212
The Score,,,213
The Script,,,214
The Temper Trap,,,215
The Vamps,,,216
The Weeknd,1990.0,,217
Timbaland,1971.0,,218
Tiësto,1969.0,,219
Tones And I,1993.0,,220
Tory Lanez,,,221
Tove Lo,1987.0,,222
Train,,,223
Travis Scott,1991.0,,224
Trevor Daniel,,,225
Twenty One Pilots,,,226
Twin,,,227
Two Feet,,,228
Wiz Khalifa,1987.0,,229
Wizthemc,,,230
Xxxtentacion,1998.0,2018.0,231
Zac Efron,1987.0,,232
Zara Larsson,1997.0,,233
