Track,DurationMinutes,SpotifyURL,Album,ReleaseDate,KeyArtist,KeyTrack
All The Stars (With Sza),3.8697666666666666,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,Black Panther The Album Music From And Inspired By,2018-02-09,123,1
I Wanna Be Yours,3.065933333333333,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,Am,2013-09-09,19,2
"One Of The Girls (With Jennie, Lily Rose Depp)",4.0780666666666665,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,The Idol Episode 4 (Music From The Hbo Original Series),2023-06-23,217,3
Sweater Weather,4.006666666666667,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,I Love You.,2013-04-22,212,4
Yellow,4.4462166666666665,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,Parachutes,2000-07-10,58,5
Show Me Love,2.9494166666666666,https://open.spotify.com/track/5ITV0zqzjOYfFWpW0xBmRa,Show Me Love,2025-02-07,230,6
Cruel Summer,2.9737666666666667,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,Lover,2019-08-23,205,7
Shape Of You,3.8952,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,÷ (Deluxe),2017-03-03,76,8
Blinding Lights,3.334,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,After Hours,2020-03-20,217,9
Chihiro,5.057333333333333,https://open.spotify.com/track/7BRD7x5pt8Lqa1eGYC4dzj,Hit Me Hard And Soft,2024-05-17,35,10
Perfect,4.39,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,÷ (Deluxe),2017-03-03,76,11
Starboy,3.840883333333333,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,Starboy,2016-11-25,217,12
As It Was,2.788383333333333,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,Harry'S House,2022-05-20,99,13
Without Me,4.838666666666667,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,The Eminem Show,2002-05-26,80,14
Just The Way You Are,3.6789,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,Doo-Wops & Hooligans,2010-05-11,41,15
Lovely (With Khalid),3.3364166666666666,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,Lovely (With Khalid),2018-04-19,35,16
Closer,4.082666666666666,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Closer,2016-07-29,208,17
Night Changes,3.776666666666667,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ,Four (Deluxe),2014-11-17,169,18
Hips Don'T Lie (Feat. Wyclef Jean),3.634883333333333,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V,"Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,192,19
Photograph,4.316433333333333,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,X (Deluxe Edition),2014-06-21,76,20
Counting Stars,4.28775,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1,Native,2013-01-01,170,21
There'S Nothing Holdin' Me Back,3.324,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml,Illuminate (Deluxe),2017-04-20,193,22
