track_name,primaryName,tconst,popularity,averageRating,numVotes,fuzzy_score
All The Stars (With Sza),Kendrick Lamar,tt1825683,95,7.3,872375,
"One Of The Girls (With Jennie, Lily Rose Depp)",The Weeknd,tt14954666,93,4.4,114165,
Skyfall,Adele,tt1074638,86,7.8,749957,
Sunflower - Spider-Man: Into The Spider-Verse,Post Malone,tt4633694,83,8.4,728484,
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,tt2322441,79,4.2,346067,
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,tt2294629,78,7.4,687641,
A Thousand Years (Feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,Christina Perri,tt1673434,67,5.6,271802,
"How Far I'Ll Go - From ""Moana""",Alessia Cara,tt3521164,62,7.6,414419,
"Million To One - From The Amazon Original Movie ""Cinderella""",Camila Cabello,tt10155932,52,4.4,48801,
All The Stars (With Sza),Kendrick Lamar,tt6133466,95,5.2,75234,53.333333333333336
I Wanna Be Yours,Arctic Monkeys,tt2442560,93,8.7,708926,50.0
Sweater Weather,The Neighbourhood,tt0455944,92,7.3,444435,58.33333333333333
Without Me,Eminem,tt0298203,89,7.2,337730,66.66666666666667
Closer,The Chainsmokers,tt2126235,89,5.7,17776,50.0
Closer,The Chainsmokers,tt8045906,89,7.2,14768,50.0
Hips Don'T Lie (Feat. Wyclef Jean),Shakira,tt0484740,88,6.4,24535,50.98039215686274
There'S Nothing Holdin' Me Back,Shawn Mendes,tt6467266,88,7.3,95381,66.66666666666667
Bring Me To Life,Evanescence,tt12649014,88,6.8,11,50.0
The Hills,The Weeknd,tt14954666,87,4.4,114165,80.0
Lover,Taylor Swift,tt28814949,86,8.0,24160,60.0
Pride.,Kendrick Lamar,tt6133466,86,5.2,75234,60.0
What Makes You Beautiful,One Direction,tt3088084,86,6.2,1355,50.0
What Makes You Beautiful,One Direction,tt2666270,86,7.4,8972,54.54545454545454
Tik Tok,Kesha,tt6265828,86,6.8,83789,57.14285714285714
Don'T,Bryson Tiller,tt1502397,86,6.5,190321,50.0
We Are The People,Empire Of The Sun,tt1956620,86,5.1,120715,62.5
Call Out My Name,The Weeknd,tt5727208,86,7.4,334343,50.0
The Nights,Avicii,tt1292566,86,6.1,96917,50.0
The Nights,Avicii,tt6802308,86,5.3,36437,57.14285714285714
Feel So Close - Radio Edit,Calvin Harris,tt4769836,86,5.7,53834,50.0
Complicated,Avril Lavigne,tt1014759,85,6.4,454916,50.0
Summertime Sadness,Lana Del Rey,tt5033998,85,5.0,82769,57.14285714285714
We Found Love,Rihanna,tt2224026,85,6.5,116169,57.14285714285714
We Found Love,Rihanna,tt2239822,85,6.4,203918,53.84615384615385
Low (Feat. T-Pain),Flo Rida,tt1282140,85,7.0,431110,50.0
Demons,Imagine Dragons,tt1517260,85,5.8,120171,50.0
Demons,Imagine Dragons,tt2109248,85,5.6,340482,50.0
Demons,Imagine Dragons,tt1355644,85,7.0,473877,50.0
Good 4 U,Olivia Rodrigo,tt2935622,85,5.9,39563,66.66666666666666
Umbrella,Rihanna,tt2224026,85,6.5,116169,50.0
West Coast,Lana Del Rey,tt5033998,85,5.0,82769,52.63157894736843
Set Fire To The Rain,Adele,tt2304933,84,5.2,121590,52.17391304347826
Baby,Justin Bieber,tt1702443,84,1.7,76523,50.0
Anti-Hero,Taylor Swift,tt28814949,84,8.0,24160,50.0
Anti-Hero,Taylor Swift,tt9411972,84,7.2,145922,50.0
