track_name,artist,album,release_date,popularity,spotify_url,id,duration_min,nconst,primaryName,birthYear,deathYear,primaryProfession,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
All The Stars (With Sza),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,95,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,3GCdLUSnKSMJhs4Tj6CV3s,3.8697666666666666,nm5302509,Kendrick Lamar,1987.0,,"music_artist,actor,composer",tt1825683,movie,Black Panther,Black Panther,0.0,2018.0,,134.0,"Action,Adventure,Sci-Fi",7.3,872375
All The Stars (With Sza),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,95,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,3GCdLUSnKSMJhs4Tj6CV3s,3.8697666666666666,nm5302509,Kendrick Lamar,1987.0,,"music_artist,actor,composer",tt1872181,movie,The Amazing Spider-Man 2,The Amazing Spider-Man 2,0.0,2014.0,,142.0,"Action,Adventure,Sci-Fi",6.6,562709
All The Stars (With Sza),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,95,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,3GCdLUSnKSMJhs4Tj6CV3s,3.8697666666666666,nm5302509,Kendrick Lamar,1987.0,,"music_artist,actor,composer",tt1840309,movie,Divergent,Divergent,0.0,2014.0,,139.0,"Action,Adventure,Drama",6.6,504969
All The Stars (With Sza),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,95,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,3GCdLUSnKSMJhs4Tj6CV3s,3.8697666666666666,nm5302509,Kendrick Lamar,1987.0,,"music_artist,actor,composer",tt6133466,movie,The First Purge,The First Purge,0.0,2018.0,,97.0,"Action,Horror,Sci-Fi",5.2,75234
I Wanna Be Yours,Arctic Monkeys,Am,2013-09-09,93,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,5XeFesFbtLpXzIVDNQP22n,3.065933333333333,nm2068106,Arctic Monkeys,,,"music_artist,actor,music_department",tt1862079,movie,Safety Not Guaranteed,Safety Not Guaranteed,0.0,2012.0,,86.0,"Adventure,Comedy,Drama",6.9,133026
I Wanna Be Yours,Arctic Monkeys,Am,2013-09-09,93,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,5XeFesFbtLpXzIVDNQP22n,3.065933333333333,nm2068106,Arctic Monkeys,,,"music_artist,actor,music_department",tt5978540,movie,The Burrial,The Burrial,0.0,2015.0,,48.0,"Drama,Horror,Thriller",7.6,23
I Wanna Be Yours,Arctic Monkeys,Am,2013-09-09,93,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,5XeFesFbtLpXzIVDNQP22n,3.065933333333333,nm2068106,Arctic Monkeys,,,"music_artist,actor,music_department",tt2442560,tvseries,Peaky Blinders,Peaky Blinders,0.0,2013.0,2022.0,60.0,"Crime,Drama",8.7,708926
I Wanna Be Yours,Arctic Monkeys,Am,2013-09-09,93,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,5XeFesFbtLpXzIVDNQP22n,3.065933333333333,nm2068106,Arctic Monkeys,,,"music_artist,actor,music_department",tt0487189,tvseries,Waterloo Road,Waterloo Road,0.0,2006.0,,53.0,"Drama,Romance",7.1,4216
"One Of The Girls (With Jennie, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music From The Hbo Original Series),2023-06-23,93,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,7CyPwkp0oE8Ro9Dd5CUDjW,4.0780666666666665,nm1070597,The Weeknd,1990.0,,"music_artist,actor,composer",tt14954666,tvseries,The Idol,The Idol,0.0,2023.0,2023.0,276.0,"Drama,Music",4.4,114165
"One Of The Girls (With Jennie, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music From The Hbo Original Series),2023-06-23,93,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,7CyPwkp0oE8Ro9Dd5CUDjW,4.0780666666666665,nm1070597,The Weeknd,1990.0,,"music_artist,actor,composer",tt1825683,movie,Black Panther,Black Panther,0.0,2018.0,,134.0,"Action,Adventure,Sci-Fi",7.3,872375
